ASIN,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns
B0BMFQP2ZZ,69,283141.58,70,0.0,8
B06XCKGLTP,82,179983.44,88,0.0,7
B07JHDKXK4,50,140593.0,46,0.0,11
B07Y1C6GDS,41,136805.23,47,0.0,11
B09Q2ZZGH2,40,121694.93,42,0.0,8
B07JGQ9L5B,165,107046.6,165,0.0,27
B081S9BCHF,3,74152.54,3,0.0,0
B00MMKQOEM,4,68810.16,2,0.0,0
B09JG62KDJ,28,68433.91,29,0.0,8
B09NQBDGT3,5,52881.36,4,0.0,0
B084P1CXFD,5,50844.91,5,0.0,0
B07JJ62B1B,21,50097.42,21,0.0,4
B01N6448Q4,9,44923.7,9,0.0,1
B07N28NZYS,1,39481.36,1,0.0,0
B00J3YYSUW,1,38202.54,1,0.0,0
B08FW1Q676,10,33228.8,9,0.0,3
B07RL6VG3H,3,33139.83,4,0.0,1
B08CF614NK,7,32194.07,7,0.0,4
B09BQQTLC8,35,27881.46,40,0.0,4
B09XKD3H6C,8,24338.99,8,0.0,2
B0064RVAUC,1,22617.8,1,0.0,1
B07RM4B5LJ,2,22061.02,2,0.0,0
B09V14JDTF,9,21127.14,9,0.0,1
B00BSL5Z1E,1,21105.08,1,0.0,0
B07FYQP9ML,1,20556.78,1,0.0,0
B0BFBDT2D2,1,14007.63,1,0.0,0
B07JHMWKBF,44,12328.34,50,0.0,7
B09V12PT9H,5,12110.18,5,0.0,2
B00S2Z9BTQ,1,11735.59,1,0.0,0
B00ZWJ39Q6,1,11694.07,1,0.0,0
B09LCL456X,6,9477.96,6,0.0,2
B09L7ZXKKF,1,9151.7,1,0.0,0
B0032WBK5M,1,8976.27,0,0.0,0
B00J3Z4Y8C,1,8880.51,1,0.0,0
B000UXIEPU,1,8813.56,1,0.0,0
B0924G6DJX,4,8779.68,3,0.0,0
B08874YDB4,1,8473.73,1,0.0,1
B00KQEXK2A,1,7931.36,2,0.0,6
B017LUP20O,1,7457.63,1,0.0,0
B07G4CCMYL,1,6897.46,1,0.0,0
B0030YD3IY,1,6890.68,0,0.0,0
B09241VBTP,3,6584.76,3,0.0,0
B00JDJ89DE,4,6318.64,4,0.0,0
B07N6DW1TT,1,6295.43,1,0.0,0
B00JDJNZ6K,16,6274.62,15,0.0,0
B0002OOMW6,10,5932.2,9,0.0,0
B06Y1XXMYG,1,5694.92,0,0.0,0
B00S5WRW6U,1,5685.59,2,0.0,0
B00HVUSRY8,5,5444.9,5,0.0,2
B0BF9MN8R2,1,5296.61,1,0.0,2
B0002E2OSU,3,5031.36,3,0.0,1
B06Y25Y2LK,1,4977.45,1,0.0,0
B09GTMFRGB,1,4448.31,2,0.0,0
B00JDIE0AG,3,4421.19,0,0.0,0
B00LM7ZYJC,7,3867.78,7,0.0,0
B003B01KV4,4,3657.62,4,0.0,0
B0002GFTIK,2,3438.98,0,0.0,0
B000EEJBDE,6,3005.08,6,0.0,0
B00HF9X2SQ,1,2896.61,1,0.0,0
B00T8L17N6,5,2635.6,7,0.0,0
B000EEL9G6,5,2504.24,6,0.0,0
B000P5LVSK,3,2438.13,2,0.0,0
B0002F7J66,1,2083.9,1,0.0,0
B00O46Y8F4,1,1909.32,1,0.0,0
B00OB48L48,1,1909.32,1,0.0,0
B0064RD6B8,1,1855.08,0,0.0,0
B00JDJBDC8,1,1633.9,1,0.0,0
B000EENF4U,3,1581.36,4,0.0,0
B00B5LEAFE,3,1530.51,3,0.0,0
B06XF43R53,3,1446.6,3,0.0,0
B0002E1I4Q,2,1371.18,2,0.0,0
B06XF3735J,2,838.99,2,0.0,0
B06XDZTH2X,2,838.98,2,0.0,0
B003B0A6ZK,1,761.86,1,0.0,0
B0002D0ELA,1,727.97,1,0.0,0
B0002DUS16,1,683.9,1,0.0,0
B003B063G6,1,652.54,1,0.0,0
B001NZB2D0,1,606.31,1,0.0,0
B00YCJJ6WS,1,594.92,1,0.0,0
B003B03XB4,1,560.17,1,0.0,0
B003AMV7SO,1,560.17,1,0.0,0
B002IJK0HY,1,554.24,1,0.0,0
B0002DUS8E,0,0.0,0,0.0,1
B009X3PM08,0,0.0,0,0.0,1
B003B01QSG,0,0.0,0,0.0,0
B003B10CNK,0,0.0,0,0.0,0
B0002J6I7S,0,0.0,0,0.0,0
B0002F4WLG,0,0.0,1,0.0,0
B00097BMNI,0,0.0,0,0.0,2
B001EM180O,0,0.0,0,0.0,0
B0749GV5L3,0,0.0,0,0.0,0
B015R0IQGW,0,0.0,1,0.0,0
B011UDPXK2,0,0.0,1,0.0,0
B00LJV8Y0W,0,0.0,0,0.0,1
B07HDB12FM,0,0.0,0,0.0,0
B07GRBHMZ5,0,0.0,0,0.0,1
B003AP94WC,-1,-1025.42,0,0.0,0
B07QKWFTK1,-1,-12813.56,0,0.0,0
