ASIN,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns
B07Y1C6GDS,45,152161.2,49,0.0,7
B06XCKGLTP,69,151449.48,76,0.0,12
B09Q2ZZGH2,43,130822.01,44,0.0,13
B07JHDKXK4,40,122000.0,40,0.0,5
B07JGQ9L5B,190,115781.25,192,0.0,25
B084P1CXFD,10,102964.43,10,0.0,3
B09JG62KDJ,33,83618.7,29,0.0,8
B08TYGP1CJ,1,51228.57,1,0.0,0
B08FW1Q676,10,41508.46,10,0.0,2
B000XXO7B2,2,39828.82,3,0.0,0
B07JJ62B1B,14,38985.73,14,0.0,3
B09XKD3H6C,12,36508.53,13,0.0,1
B07N28P3VJ,1,35720.34,1,0.0,0
B09V14JDTF,15,35635.63,23,0.0,1
B00MMKQOEM,2,34666.95,2,0.0,1
B08CF614NK,7,32194.05,6,0.0,0
B0015Y8U5W,1,27722.03,1,0.0,0
B07G4CCMYL,4,27410.16,5,0.0,0
B001EM180O,1,25744.06,1,0.0,0
B0064RVAUC,1,22746.61,1,0.0,0
B09LCL456X,14,22115.24,15,0.0,1
B0BF9PCGM8,5,22033.9,4,0.0,1
B009X3PM08,2,20644.07,2,0.0,0
B00BL70Y7U,1,19576.27,1,0.0,0
B07JHMWKBF,48,18253.84,49,0.0,4
B015R0IQGW,3,17794.08,3,0.0,0
B078NF6WD6,1,17123.73,1,0.0,0
B00EGHMOZC,1,15169.49,1,0.0,0
B0BFBDT2D2,1,14788.14,1,0.0,0
B07QKWFTK1,1,14261.86,3,0.0,0
B07RL6VG3H,1,11045.76,1,0.0,1
B01N6448Q4,2,9983.05,2,0.0,0
B00HVUSRY8,9,9800.82,9,0.0,0
B0BMFQP2ZZ,2,9305.08,4,0.0,4
B076T15QLW,1,9102.54,1,0.0,0
B08P4FCTG7,1,8753.3,1,0.0,0
B00KQEXK2A,1,7845.76,1,0.0,4
B09241VBTP,3,6584.76,2,0.0,0
B0030YD3IY,1,5994.07,1,0.0,0
B06Y1XXMYG,1,5938.98,1,0.0,0
B0030YGHDM,1,5654.24,1,0.0,0
B00S5WRW6U,1,5299.15,1,0.0,0
B0002DUS8E,8,4379.68,7,0.0,0
B07JMLDR2Y,1,4072.88,1,0.0,0
B07D3MPLFT,1,3797.58,1,0.0,0
B000EENF4U,8,3660.99,7,0.0,0
B01LHVBT5U,1,3323.73,1,0.0,0
B00T8L17N6,7,3203.39,6,0.0,0
B0002OOMW6,5,3093.2,5,0.0,1
B00JDJ89DE,2,2838.99,2,0.0,0
B002IJK0H4,5,2771.2,5,0.0,0
B000EEL9G6,6,2745.74,6,0.0,0
B000EEJBDE,6,2617.8,6,0.0,1
B00JDJNZ6K,6,2486.46,7,0.0,0
B0002F7J5W,1,1586.44,1,0.0,0
B00IO1NHPM,1,1524.58,1,0.0,0
B003B01QSG,3,1372.89,3,0.0,0
B000WIT8BM,2,1311.85,2,0.0,0
B06XF43R53,2,964.4,2,0.0,0
B002IJK0HY,2,776.28,1,0.0,0
B07GTLBP83,1,607.63,1,0.0,0
B003B063G6,1,597.46,1,0.0,0
B0002DUS16,1,583.22,1,0.0,0
B0002DUS8Y,1,562.71,0,0.0,0
B003B03XB4,1,560.16,1,0.0,0
B003AMV7SO,1,544.92,1,0.0,0
B083F7HJMX,1,542.37,1,0.0,0
B06XF31654,1,482.2,1,0.0,1
B06XF3VK6Y,1,482.2,0,0.0,0
B0030YAZLC,0,0.0,0,0.0,1
B001D7UYBO,0,0.0,1,0.0,0
B000RVX1Q2,0,0.0,0,0.0,0
B000P5LVSK,0,0.0,1,0.0,0
B0002E2OSU,0,0.0,0,0.0,1
B00HF9X2SQ,0,0.0,1,0.0,0
B07BBG8L4G,0,0.0,0,0.0,0
B07BCQ7P7Z,0,0.0,1,0.0,0
B07YX6MM9N,0,0.0,0,0.0,0
B09GTMFRGB,0,0.0,1,0.0,0
B07HDB12FM,0,0.0,0,0.0,0
B07K89DNTZ,0,0.0,1,0.0,0
B09V12PT9H,0,0.0,0,0.0,1
B0B4MYWWKG,0,0.0,0,0.0,0
B07F39CHRZ,-2,-40320.34,0,0.0,0
B072FKLXRB,-1,-43633.9,0,0.0,0
